cc_no,pos_dt,cc_txn_amt
360,3,500
360,4,1600
360,5,3300
360,6,2800
365,3,2700
365,4,6000
365,6,2500
367,1,19700
367,2,900
367,3,1000
367,4,29600
368,1,4000
368,3,1000
368,4,8000
369,1,5000
369,3,3000
369,4,1900
369,6,8000
370,1,2300
370,2,4600
370,3,3000
370,4,3700
370,5,2400
370,6,3700
372,1,1000
372,3,15600
372,4,2100
372,5,1000
373,1,1700
373,2,1700
373,4,11200
373,5,2500
373,6,2200
375,1,2500
375,2,2600
375,3,4300
375,4,5000
375,5,5900
375,6,2800
377,4,10000
377,5,2000
379,1,24400
379,2,5300
379,3,7100
379,4,53100
379,5,35400
379,6,32000
380,2,4400
380,3,26300
380,4,5500
380,5,9000
380,6,3000
382,1,1300
382,3,7200
382,4,14700
382,5,1000
382,6,3800
383,2,400
386,1,22600
386,2,28400
386,3,38600
386,4,7200
386,5,9200
386,6,3200
387,2,1600
387,3,2000
387,4,100
389,4,16000
389,5,9000
389,6,2600
391,6,200000
396,2,2000
396,5,5000
398,1,1500
398,2,2000
398,3,1500
398,4,1500
398,6,1000
399,1,13000
399,3,600
399,4,12600
399,5,6500
399,6,7300
400,1,1200
400,2,2000
400,3,17300
400,4,300
400,5,14300
400,6,34800
401,1,2100
402,1,3600
402,2,13400
402,4,700
402,5,1100
402,6,6800
403,4,6100
403,5,21800
403,6,60600
404,1,3800
404,2,3200
404,3,8800
404,4,19200
404,5,13500
404,6,29400
405,1,8500
405,2,6700
405,3,1000
405,4,11100
405,5,15600
405,6,6500
409,1,7000
409,2,5000
409,3,6700
409,4,8800
409,5,11400
409,6,14200
411,3,4300
411,6,1600
413,3,2400
413,5,5500
413,6,5700
415,1,3700
415,2,2500
415,3,6400
415,4,1000
415,5,16100
415,6,1000
418,3,10000
418,4,10000
418,5,20000
418,6,5000
421,5,7000
421,6,1800
422,1,1300
422,2,26000
422,3,1800
422,4,400
422,5,9200
423,3,33000
423,4,13000
423,5,3500
423,6,9000
424,1,2100
424,3,5300
424,4,3000
424,5,3200
424,6,3200
425,1,15000
425,4,15000
425,5,4000
427,1,18700
427,2,10000
428,1,11600
428,2,13100
428,3,1700
428,5,6400
428,6,6700
430,1,1700
430,3,5400
430,4,45700
430,6,11800
431,1,145000
431,3,50000
431,4,106600
431,5,37200
431,6,15800
432,1,2500
432,2,3900
432,4,4200
432,5,3400
432,6,3300
433,5,17900
434,1,8200
436,6,10000
437,1,15300
437,2,13100
437,3,14800
437,4,29900
437,5,6300
437,6,14000
438,1,1100
438,2,10300
438,3,10500
438,4,14700
438,5,14100
438,6,2600
439,1,4000
439,6,20000
441,3,4000
441,4,2000
441,5,2000
441,6,2000
442,4,21000
445,2,25000
445,3,10000
448,1,15000
448,6,7000
450,1,26000
450,2,33000
450,3,35000
450,4,23600
450,5,14000
451,1,19700
451,2,4900
451,3,7200
451,4,10300
451,5,3600
451,6,2100
455,1,7700
455,2,5400
455,3,2100
455,4,1900
455,5,100
455,6,5600
457,1,29600
457,2,1000
457,5,32000
457,6,18500
458,1,4500
458,2,8800
458,3,4100
458,4,16100
458,6,1000
459,1,7500
459,2,2200
459,3,9500
459,4,5700
459,5,4300
459,6,2900
464,1,1300
464,2,1600
464,4,1500
464,5,1500
464,6,1500
465,5,3600
467,1,1300
467,4,1000
467,5,600
468,6,11000
469,1,5800
469,2,5800
469,3,700
469,4,5000
469,5,4800
469,6,3000
470,2,20000
470,3,20000
470,4,20000
470,5,20000
471,6,15200
472,1,18000
472,2,14000
472,3,3000
472,5,5500
472,6,5300
474,2,8400
475,1,700
475,2,800
475,3,700
475,4,800
475,6,700
476,1,13400
476,2,3600
476,3,3900
476,4,3900
476,5,25400
476,6,5100
477,1,4300
477,2,1300
477,3,1300
477,4,3800
477,5,4300
477,6,1800
479,1,4400
479,2,3000
479,3,3600
479,4,7300
479,5,8800
479,6,500
480,2,8700
480,3,1400
480,4,11800
480,5,700
480,6,2900
481,1,3000
481,2,3000
481,4,3000
481,5,2700
483,1,1400
483,2,1200
483,3,3200
483,4,1200
483,5,700
483,6,1200
484,3,1000
484,5,5000
484,6,4000
485,5,72400
485,6,109800
486,1,3300
486,2,1000
486,3,17200
486,4,4100
486,5,5900
486,6,3200
487,1,15900
487,2,11000
487,3,45000
487,4,34100
487,5,22100
487,6,5000
488,1,4500
488,2,1000
488,3,11800
488,4,4500
488,6,2600
489,5,2200
490,1,46700
490,2,127400
490,3,124700
490,4,203400
490,5,144900
490,6,115600
492,1,55900
493,3,2600
493,6,33300
494,2,500
494,3,1300
494,4,4500
494,5,200
494,6,800
495,1,33100
495,2,15900
495,3,70200
495,4,8400
495,5,10200
495,6,3300
496,1,1000
496,3,1500
496,4,500
498,1,500
498,2,18000
498,3,15300
498,4,3700
498,5,4800
498,6,4800
499,1,4600
499,2,4100
499,3,3800
499,4,3000
499,5,10200
499,6,6600
501,1,2900
501,2,300
501,3,500
501,4,500
501,5,700
501,6,500
502,6,18700
503,1,11400
503,2,500
503,4,2900
506,1,18600
506,4,5700
506,5,11000
507,1,400
507,2,281300
507,3,3100
507,4,183700
507,5,120000
507,6,101200
509,1,17000
509,2,9200
509,3,17600
509,4,17300
509,5,10200
509,6,6900
510,2,700
510,3,30400
510,5,900
511,1,400
511,2,2800
511,5,6000
511,6,3100
512,1,8400
512,2,1000
512,3,13400
512,4,1200
512,5,3400
512,6,3300
513,1,18900
513,2,33300
513,3,22700
513,4,19200
513,5,23300
513,6,26500
514,1,1800
514,2,4000
514,3,3500
514,4,3300
514,5,7500
514,6,29100
515,1,3400
515,2,1100
515,3,3800
515,5,200
516,4,7000
516,5,17400
516,6,28000
517,3,7000
517,4,23000
518,1,13700
518,3,1300
518,4,700
519,1,500
519,2,2500
519,3,1200
519,5,1400
519,6,1000
520,1,2600
520,2,2400
520,3,16300
520,4,4400
520,5,4900
520,6,4000
522,3,10000
522,4,3800
522,5,3800
523,1,1600
523,2,1600
523,3,1600
523,4,1200
523,5,1600
523,6,20400
524,2,40800
524,3,7800
524,4,2600
524,5,65300
524,6,52200
525,1,4000
525,3,11300
525,4,1300
525,6,1400
527,1,800
527,2,21200
527,4,2200
527,5,11700
528,1,10700
528,2,3700
528,3,6100
528,4,2600
528,5,600
528,6,15900
530,1,2000
530,3,1000
530,5,1000
530,6,1000
531,5,2200
531,6,2500
534,4,4300
534,5,6500
534,6,10700
535,1,2000
535,2,2500
535,3,2000
536,1,1400
538,1,6600
538,3,2200
538,4,8900
538,5,7300
538,6,2700
540,1,1800
540,2,1900
540,4,2000
540,5,2100
540,6,2300
541,1,1000
541,5,500
541,6,500
543,2,600
543,3,500
543,4,500
543,5,600
543,6,500
544,1,3800
544,2,2100
544,3,2400
544,4,11400
544,5,18500
544,6,20600
545,1,3200
545,2,2400
545,3,3500
545,4,1500
545,5,1700
545,6,2400
546,6,12000
547,1,12400
547,2,5900
547,3,185400
547,4,10400
547,5,6200
547,6,14000
550,1,3000
550,2,3700
550,3,3700
550,4,3700
550,5,3700
555,1,300
555,3,5300
555,4,300
555,5,300
555,6,8300
559,1,11700
559,2,2000
559,4,2000
559,5,2000
559,6,2000
560,5,2700
562,1,8500
562,2,5400
562,3,2100
562,4,3600
562,5,20000
562,6,20300
563,1,17600
563,3,15700
563,4,72400
563,5,21300
563,6,90700
564,5,3700
565,4,3600
565,5,600
565,6,1000
568,3,10000
569,4,2300
572,1,7900
572,3,8000
572,4,6700
572,5,7100
572,6,7000
573,1,30600
573,2,10000
575,6,63800
577,1,7800
577,2,3200
577,4,3500
577,5,3300
577,6,3400
578,5,1500
580,1,12500
580,2,6000
580,3,15000
580,4,2900
580,5,11600
580,6,1800
581,1,1000
581,2,1000
581,3,1000
581,5,1000
581,6,1000
584,2,22000
584,4,1600
584,5,14900
584,6,2800
586,1,13000
586,2,4700
586,3,2700
586,4,9100
586,6,22300
588,3,25500
588,5,4000
588,6,20000
589,1,350100
589,2,267000
589,3,218100
589,4,443500
589,5,140800
589,6,360000
590,1,700
590,2,700
590,3,300
590,5,6800
590,6,1000
591,1,4700
591,2,12900
591,3,1800
591,4,1100
591,5,1000
591,6,200
596,1,5000
596,5,4000
596,6,2000
597,1,1500
597,2,1500
597,4,1500
597,5,1500
597,6,1500
598,1,1000
598,2,1000
598,3,2000
598,4,2600
598,5,3000
598,6,5800
600,2,800
600,4,1400
600,6,800
602,1,2100
602,2,11500
602,3,18900
602,4,1200
602,5,26000
602,6,15200
603,4,63000
604,1,20000
604,2,1400
604,3,52800
604,4,3500
604,5,7400
604,6,4100
606,1,2700
606,2,2700
606,3,2900
607,1,5800
608,1,394600
608,2,1700
608,3,80100
608,6,35200
609,2,8100
609,3,600
609,4,900
609,5,6900
610,1,1000
610,4,1000
610,5,3700
612,2,400
612,3,600
613,1,24800
613,2,19100
613,3,111800
613,4,145500
613,5,900
614,1,3200
614,2,2900
614,3,10300
614,4,600
614,5,18200
614,6,600
615,1,600
615,2,600
615,3,7300
615,4,3500
615,5,2400
616,3,1200
616,4,3600
616,5,1600
616,6,900
617,1,41000
617,3,4100
617,4,27300
617,5,16700
617,6,12200
618,4,29000
618,5,14400
623,1,1500
623,2,6900
623,3,4300
623,4,1900
623,5,4500
623,6,3200
625,5,5600
627,1,3200
627,2,900
627,3,11500
627,4,3700
627,5,4100
627,6,133800
629,1,500
629,2,1000
629,4,9800
629,6,17900
631,1,500
631,3,500
631,5,800
631,6,2500
632,3,18700
632,4,8200
632,5,2400
632,6,11200
634,1,2500
634,2,4400
634,3,2700
634,4,4600
634,5,3500
634,6,4400
635,1,3400
635,2,3000
635,3,3500
635,5,6000
636,1,7300
636,2,1100
636,3,10200
636,5,2100
636,6,3600
637,1,3900
637,2,3300
637,3,700
638,3,1400
638,4,1700
638,5,100
638,6,1500
640,1,11300
640,2,3700
640,3,2200
640,4,800
640,5,10900
640,6,18000
641,4,2000
641,6,1000
643,6,9000
644,2,7800
644,3,5300
644,5,3000
645,1,3000
645,4,1500
648,1,5400
648,2,33900
648,3,1300
648,4,16300
648,6,2600
649,1,1000
649,2,2400
649,4,1600
649,5,1500
649,6,1700
651,4,28000
651,5,2000
652,1,2000
652,2,1000
652,3,1000
652,4,3000
655,2,600
658,2,10000
658,4,6000
658,6,3000
661,5,5000
661,6,2000
662,1,15600
662,2,3200
662,3,4800
662,4,7300
662,5,7500
662,6,27900
663,1,2800
663,2,27900
663,3,1700
663,4,10800
663,5,14200
663,6,13600
664,4,15100
665,1,101700
665,2,111500
665,3,82000
665,4,72300
665,5,74900
667,1,6900
667,2,11300
667,3,4800
667,4,7600
667,5,10200
667,6,6300
668,1,9200
668,2,4800
668,3,16600
668,4,16700
668,5,16500
668,6,5400
672,1,69400
672,2,58400
672,3,69800
672,4,44700
672,5,81700
672,6,78000
674,2,1400
674,3,1200
674,4,900
674,5,1300
674,6,1300
676,1,1200
676,2,1800
676,3,2100
676,4,3900
676,5,4700
676,6,1700
677,1,5800
677,3,800
678,2,1000
678,3,1000
678,4,1000
678,5,800
679,1,1300
679,3,700
679,5,1500
680,1,45900
680,2,8200
680,3,5100
680,4,5900
680,5,7300
680,6,53600
681,6,5000
682,1,7000
682,2,2000
682,3,8000
682,4,15900
682,5,13000
682,6,5900
683,1,14200
683,2,37800
683,3,10800
683,4,6700
683,5,9900
683,6,6300
688,1,1000
688,2,1000
688,3,1000
688,4,2000
688,5,1000
689,3,1000
689,5,400
689,6,3900
690,3,1300
690,4,9300
690,5,2800
690,6,5300
692,1,4400
692,3,4500
692,4,9200
692,5,4200
692,6,4600
694,1,3900
694,2,3000
694,3,5000
694,4,900
694,5,1900
694,6,1500
697,5,19200
697,6,3500
699,5,3000
699,6,2000
700,1,4000
700,2,2600
700,3,4300
700,4,25600
700,5,3200
700,6,3100
701,1,500
701,4,26500
705,5,7000
706,1,9000
706,2,2300
706,6,19900
707,6,2000
710,1,900
710,4,6900
710,5,19000
710,6,15000
711,1,1000
711,2,900
711,6,2200
713,2,30000
713,3,85800
713,4,5300
713,5,40000
713,6,2100
714,1,1500
714,2,1400
714,4,1400
714,5,1400
716,1,10300
716,3,4800
717,1,1000
717,3,2000
717,6,3000
718,1,17000
718,2,17200
718,3,9800
718,4,10900
718,5,9400
718,6,11700
719,1,300
719,2,13000
719,3,19800
719,4,11500
719,5,900
719,6,800
722,4,7000
722,5,17000
722,6,3000
725,1,3000
725,6,2000
726,3,10800
726,4,12300
726,6,12000
727,1,10000
727,6,11000
729,1,500
729,3,1000
729,4,1000
729,5,2200
729,6,3000
732,1,3400
732,2,4000
732,3,5500
732,4,3000
732,5,3000
732,6,3000
734,4,8800
734,5,2300
735,3,500
735,5,800
735,6,1100
736,1,4300
736,2,2400
736,3,11900
736,5,1700
736,6,4900
737,1,700
737,2,1100
737,3,3400
737,4,5400
737,5,3700
737,6,8900
739,4,9500
740,2,68000
740,5,1200
741,1,500
741,3,6800
741,4,900
741,5,1300
741,6,1900
742,1,90000
743,1,3200
743,2,4900
743,3,10800
743,4,200
743,5,3400
743,6,16500
744,3,500
744,4,1300
744,5,700
744,6,800
745,1,6200
746,3,1300
746,4,3600
748,5,7000
752,1,6000
752,3,15000
754,3,6800
754,4,2300
754,5,14000
754,6,46100
755,2,2500
755,4,3300
755,5,5100
755,6,4400
756,2,16000
756,3,2500
756,4,8000
757,4,8700
761,1,5300
761,2,5300
761,3,1500
761,4,9800
761,5,38900
761,6,84300
765,4,4200
765,5,1300
766,1,4100
766,2,3900
766,3,2300
766,4,2900
766,5,3400
766,6,900
767,3,8000
769,1,1600
769,5,2400
769,6,37500
770,1,4300
770,2,4200
770,3,1000
770,4,10300
770,5,6300
770,6,17900
771,4,15100
771,5,17500
771,6,37500
773,1,10400
773,2,4200
773,3,6200
773,4,12100
773,5,17100
773,6,23700
774,1,4000
774,2,4000
774,4,5700
775,1,600
775,2,600
775,3,30000
775,4,4400
778,1,32300
778,2,12900
778,3,16400
778,4,17700
778,5,20300
778,6,39100
779,1,3900
779,2,2400
779,3,3100
779,4,2400
779,5,2600
779,6,2200
781,1,2800
781,2,1200
781,3,16800
781,4,12600
781,5,18500
781,6,15500
782,1,3200
782,2,2800
782,3,67800
782,4,1100
782,5,400
782,6,600
784,1,6400
784,2,15200
784,3,14900
784,4,5400
784,5,14200
784,6,16300
785,1,20500
785,4,5900
785,6,35400
786,1,4300
786,2,21500
786,3,2900
786,5,4100
788,1,7000
788,3,6000
788,5,3000
789,3,4000
789,4,7000
789,5,9000
789,6,5500
791,1,1000
791,2,600
791,4,1000
791,6,1200
793,1,5000
793,2,3000
793,3,9000
793,4,5000
793,5,4600
793,6,6100
796,3,36800
796,6,18500
797,3,4700
797,4,4300
797,5,11300
797,6,4300
800,1,5300
800,6,2900
803,1,6600
803,2,3900
803,3,4900
803,4,10200
803,5,16000
803,6,6300
804,1,6000
804,4,14000
805,1,20000
805,5,10000
807,1,9600
807,3,900
807,4,1000
807,6,500
810,1,16900
810,2,19400
810,5,400
811,1,11500
811,2,21900
811,3,7300
811,4,14000
811,5,8700
811,6,6500
812,3,1800
812,4,1700
813,1,3100
813,2,3000
813,3,1900
813,4,4200
813,5,5000
813,6,1900
814,4,22800
815,1,14900
815,2,15600
815,3,19100
815,4,23600
815,5,29500
815,6,37700
816,1,3300
816,2,2900
816,3,5300
816,4,19600
817,3,2000
817,5,3000
817,6,3000
